边,边
尽管,可是
尽管,却
尽管,然而
尽管,也
可,却
可是,倒
可,倒
可是,却
然而,却
虽,但
虽,但却
虽,但
但,却
但是,却
虽,但是
虽,但是
量,倒
虽,而
虽,还
虽,还是
虽,可
虽,可是
虽,其实
虽,却
虽,然而
虽,也
虽然,不过
虽然,但
虽然,但却
虽然,但是
虽然,倒
虽然,而
虽然,还
虽然,还是
虽然,可
虽然,可是
虽然,其实
虽然,却
虽然,然而
虽然,也
虽说,不过
虽说,但
虽说,还是
虽说,可
虽说,可是
虽说,其实
虽说,却
虽说,然而
虽则,然而
虽说,也
虽则,但
虽则,但是
虽则,但却
虽则,但
但,却
虽则,可是
则,却
则,也
至于,却
至于,倒
既,便
既,就
既,那么
既,也
既,则
既然,便
既然,就
既然,那就
既然,那么
既然,那末
既,那末
既然,所以
既然,也
既然,于是
既,于是
既然,则
所以,是为了
所以,是因为
所以,是由于
所以,在于
所以,在乎
惟其,才
惟其,所以
为了,便
为了,才
为了,就
因为,便
因为,才
因为,就
因为,所以
因为,因此
因为,因而
因为,于是
由于,便
由于,才
由于,就
由于,所以
由于,因此
由于,因而
由于,于是
于是,便
于是,就
之所以,是为了
之所以,是因为
之所以,是由于
之所以,因为
之所以,在于
便是,也
便,也
不,就
不,也
非,不
不,不
非,才
不,才
即,也
即便,还
即便,还是
即便,仍然
即便,也
即或,也
即令,也
即使,但
即使,但是
即使,却
即使,然
即使,而
即使,其实
即使,还
即使,还是
即使,仍然
即使,仍旧
即使,也
即使,总
即使,总是
假如,便
假如,即
假如,的话
假如,就
假如,那
假如,那么
假如,那末
假如,则
假若,的话
假若,就
假若,便
假若,那
假若,那末
假使,便
假使,还
假使,就
假使,那
假使,那么
假使,那末
假使,也
假使,则
就,也
就令,也
就使,也
就使,还
就是,也
就算,还
就算,还是
就算,也
哪怕,都
哪怕,却
哪怕,可是
哪怕,也
哪怕,总
如果,便
如果,的话
如果,还
如果,就
如果,那
如果,那便
如果,那就
如果,那么
如果,那么就
如果,那末
如果,那末就
如果,也
如果,则
如果,总
若,便
若,还
如,还
若,就
如,就
若,那么
如,那么
若,那
如,那
若,也(亦)
如,也
若,亦
如,亦
若,则
如,则
若,总
若是,便
若是,就
若是,那末
若是,也
设,则
设使,则
设者,就
设成,就
倘,便
倘,就
倘,那
倘,那么
倘,也
倘,则
倘,总
倘若,便
倘若,就
倘若,那
倘若,那么
倘若,也
倘若,则
倘使,便
倘使,就
倘使,那
倘使,那么
倘使,也
倘使,则
万一,便
万一,就
万一,即
要,的话
要,就
要,便
要,那
要,那么
要,也
要不是,的话
要不是,就
要不是,也
要是,便
要是,的话
要是,就
要是,那
要是,那么
要是,那末
妻是,也
再,就
再,便
再,也
再,总
纵,也
纵,亦
级令,也
级令,亦
纵然,还是
纵然,总
纵然,也
纵使,还是
纵使,总
纵,也
不管,都
不管,还是
不论,还是
不管,就
不管,也
不管,总
不管,总是
不论,都
不论,就
不论,便
无论,就
无论,便
不论,也
不论,总
不论,总是
除非,才
除非,否则
除非,不然
除非,否则
否则,不
惟有,才
无论,都
无论,也
无论,总
无论,总是
要,除非
一,便
一,就
一旦,就
一旦,即
一旦,便
一经,就
一经,即
一经,便
愈,愈
越,越
只要,便
只要,都
只要,就
只要,总
只有,才
